filepath,speaker_id,sentence_id,emotion,intensity,dataset,language,duration,rms_mean,zcr_mean,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,spectral_contrast_mean,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_mean,chroma_std,tempo,pitch_mean,pitch_std,pitch_range,voicing_rate,split
datasets/CREMAD/AudioWAV/1022_ITS_ANG_XX.wav,1022,ITS,ANG,XX,CREMA-D,en,2.43575,0.14342853,0.154541015625,2003.0657060961155,1096.6997365012294,3575.871394230769,1672.609103577644,19.84643117177336,-156.9682,89.8107,81.19055,52.72339,2.0274825,35.869057,32.574013,35.455727,-16.707922,26.263145,-24.503643,16.041988,-8.49738,20.8444,-16.882812,10.218945,-7.487252,10.886083,-12.227174,9.84781,-0.7584566,10.39175,3.8705554,11.040018,-6.3936114,7.6586595,0.28508124,0.30327266,[89.28571429],263.76459976334985,54.0991231039902,174.39696300855954,0.8269230769230769,test
datasets/CREMAD/AudioWAV/1037_ITS_ANG_XX.wav,1037,ITS,ANG,XX,CREMA-D,en,3.003,0.0400959,0.11962890625,1695.9472977550158,1098.831999289062,3455.867686170213,1785.3111849968527,17.452790131327014,-309.9204,92.11881,98.22823,46.958466,34.167892,40.196438,22.147915,26.939518,-5.315546,22.428978,-6.186294,16.512583,-4.686286,11.532197,-4.6509852,10.208024,-5.187881,8.619146,-0.024816401,7.4941874,-3.3212342,8.145059,-1.9878176,10.589792,-3.655557,5.4155445,0.36069337,0.32395023,[125.],281.8453865672937,82.43037119855094,264.3202451535635,0.6276595744680851,train
datasets/CREMAD/AudioWAV/1060_ITS_NEU_XX.wav,1060,ITS,NEU,XX,CREMA-D,en,2.402375,0.009054508,0.07814427425986842,1482.5636948456722,571.1531233805888,3397.2039473684213,1950.88265261178,15.771777467038554,-381.4066,41.898296,103.938866,19.808628,35.128147,23.008003,23.225817,12.014987,9.31784,8.284452,1.1436454,9.556067,3.2613754,8.265199,-4.931952,8.318795,1.491559,8.726161,-1.2210076,4.2992587,-6.2901926,3.3558762,-0.54304427,4.898253,-3.776471,4.847745,0.38681665,0.30073994,[170.45454545],259.22135127179826,25.53445721534249,97.12478520195535,0.3684210526315789,train
datasets/CREMAD/AudioWAV/1075_ITS_NEU_XX.wav,1075,ITS,NEU,XX,CREMA-D,en,2.43575,0.011636293,0.0802239752435065,1438.129999889142,693.676595935063,3188.2102272727275,1871.0463529324973,15.747149058100863,-374.81824,57.72182,108.60302,28.585722,42.59774,27.84104,26.419222,18.5356,1.2431399,16.90673,-4.5847683,13.822583,4.113737,9.119468,-0.4310381,10.308009,-0.40023795,9.058898,-0.46808907,5.284071,-4.056681,6.618026,1.7660887,5.5449343,0.11157445,5.0726132,0.39878726,0.29773343,[156.25],270.14365127191036,58.167998408323946,208.3264984926522,0.37662337662337664,train
datasets/CREMAD/AudioWAV/1073_IOM_DIS_XX.wav,1073,IOM,DIS,XX,CREMA-D,en,2.8695625,0.015059443,0.05469292534722222,1238.8124805118046,433.9669346425652,2913.715277777778,1784.937553900161,16.37238352539437,-382.00946,67.863594,109.52068,18.461512,38.729843,28.933622,38.80959,18.70737,5.9297457,14.891007,2.809155,11.670286,2.5776162,7.8946853,-8.267661,12.185464,1.5855908,5.206261,-2.5788486,5.1910157,-0.9171536,4.553455,2.6746247,6.813829,-3.5098941,4.043975,0.39585346,0.30433992,[156.25],233.144413659072,27.98032542131081,94.13236059302884,0.4111111111111111,test
datasets/CREMAD/AudioWAV/1066_IOM_DIS_XX.wav,1066,IOM,DIS,XX,CREMA-D,en,2.5025,0.0106111625,0.049365852452531646,1136.6543756603287,126.87504620617497,2533.8212025316457,1780.9369806155148,15.652208823749488,-394.71094,58.541454,116.95607,17.273556,42.338467,21.119005,27.330805,18.585192,11.972993,14.359703,-1.1658821,11.603576,1.2418348,8.650191,-2.1740093,6.9138203,-2.725744,7.6235805,-1.6125762,5.5778227,-0.9946579,5.3531833,-0.7159875,5.346024,-2.7929916,6.371547,0.39957973,0.28971556,[85.22727273],155.49970223170178,13.871581642301038,61.81781185899544,0.5822784810126582,train
datasets/CREMAD/AudioWAV/1078_IWL_SAD_XX.wav,1078,IWL,SAD,XX,CREMA-D,en,2.43575,0.018337877,0.057407924107142856,1170.7323485810793,256.4949484354507,2523.741883116883,1637.012799677748,17.439588235446912,-378.7499,60.45396,117.31884,22.32557,24.074411,26.52825,18.098623,21.743458,6.2905283,13.311703,3.681545,13.953291,1.5939223,7.6662807,-3.9035578,6.821779,-2.8248942,9.03837,-0.5692727,6.782701,1.6461791,7.6989236,1.586122,7.288096,-3.1204593,4.9729943,0.31353357,0.3101733,[144.23076923],292.62559480260467,86.41558132471876,313.54198034173146,0.7922077922077922,train
datasets/CREMAD/AudioWAV/1029_TAI_FEA_XX.wav,1029,TAI,FEA,XX,CREMA-D,en,3.6703125,0.02496406,0.08755944293478261,1622.8846008110108,752.7969296413123,3764.334239130435,2018.0818987189086,16.337963745014438,-362.42758,101.93294,85.95227,29.32437,43.82811,21.711077,22.202644,23.060436,1.0268861,24.737856,1.7863522,11.358245,3.6471045,6.7042994,-3.005047,8.509717,-3.802855,6.183283,-7.286577,10.093768,-5.454303,7.4681277,-4.778557,8.577748,-7.806096,10.114103,0.3220079,0.32023388,[133.92857143],523.238489449665,73.23899978076665,284.00804021732927,0.4782608695652174,train
datasets/CREMAD/AudioWAV/1039_IEO_SAD_MD.wav,1039,IEO,SAD,MD,CREMA-D,en,2.2021875,0.014141443,0.06550045289855072,1315.4289925904932,553.2755603940723,3025.475543478261,1821.2976237042117,15.678991922060217,-378.47464,71.35647,109.831245,29.549267,41.401783,19.812813,28.703648,10.018101,4.1966815,18.239788,8.409076,9.582952,5.2279,9.151509,-13.69472,13.457644,-7.783328,10.164989,-3.5604205,7.3556237,-1.7629851,5.210762,-1.7626991,6.070401,-5.237288,5.2098503,0.41802916,0.29403725,[89.28571429],139.9465994580455,11.320915605991978,31.01423351820459,0.2318840579710145,train
datasets/CREMAD/AudioWAV/1008_TAI_HAP_XX.wav,1008,TAI,HAP,XX,CREMA-D,en,3.2031875,0.035202615,0.0775439453125,1600.791460709295,654.1081996191573,3459.21875,1911.8364749868101,17.597039160882314,-333.93314,99.105965,88.19345,33.687717,35.376476,24.897808,24.159048,30.08519,-2.6929052,34.475388,0.34843028,14.274086,-1.3301704,13.225742,-11.058515,13.558544,1.22661,9.559291,-4.1478257,9.476475,5.539158,5.863902,3.1450646,7.6134396,-3.6228492,5.6877875,0.28802547,0.32161164,[98.68421053],370.1530812674918,40.2910911388111,171.19789176689062,0.6,train
