split,emotion,sample_count,avg_energy,avg_pitch,avg_brightness,avg_mfcc1,std_energy,std_pitch
test,ANG,189,0.0882,319.05,1715.14,-228.44,0.0615,89.74
test,DIS,156,0.0253,252.16,1453.69,-344.56,0.0204,70.93
test,FEA,176,0.039,317.02,1479.84,-324.65,0.0408,105.63
test,HAP,169,0.0413,315.85,1463.21,-308.97,0.0311,108.26
test,NEU,155,0.0174,225.3,1375.8,-365.08,0.0049,55.94
test,SAD,159,0.0125,228.03,1328.45,-389.61,0.0055,70.2
train,ANG,827,0.0877,323.83,1742.25,-233.12,0.0663,116.55
train,DIS,664,0.0215,228.54,1471.25,-359.43,0.0228,131.48
train,FEA,795,0.0355,289.49,1492.61,-343.03,0.0473,139.71
train,HAP,770,0.0388,302.66,1489.07,-319.75,0.0361,125.06
train,NEU,709,0.0159,213.77,1388.16,-371.17,0.0063,61.22
train,SAD,730,0.0118,211.25,1354.16,-396.89,0.0081,75.85
val,ANG,182,0.0924,308.33,1816.32,-222.35,0.071,111.88
val,DIS,147,0.0271,206.12,1523.69,-345.71,0.0358,98.13
val,FEA,177,0.0397,254.75,1492.8,-337.65,0.0566,92.8
val,HAP,163,0.0323,239.48,1517.44,-329.4,0.0326,89.96
val,NEU,149,0.0151,192.39,1429.89,-371.42,0.0056,55.51
val,SAD,153,0.0122,190.5,1355.82,-397.46,0.0131,64.5
